,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196405,  -1.40,  -1.17,   0.47,   0.45,   1.47,   3.12,   0.36,   2.96,   1.82,   3.74,  -0.49,   1.63,  -0.29,   1.94,   2.50,   1.20,   2.36,   1.36,   2.61,   4.10,   2.07,   0.32,   1.26,   4.22,   3.45
196406,   1.92,   0.63,   1.28,   0.77,   1.09,   0.88,   1.68,   1.60,   1.15,   2.21,   0.86,   2.20,   2.24,   2.48,   1.24,   1.09,   1.33,   1.13,   2.88,   3.11,   0.97,   2.91,   0.21,   1.37,   2.46
196407,   0.85,   3.88,   3.27,   2.64,   4.71,   1.06,   1.72,   4.14,   3.11,   2.45,   2.81,   2.58,   3.03,   3.28,   1.24,   1.15,   3.40,   1.57,   1.77,   3.12,   2.58,   0.69,   3.95,   1.79,   1.09
196408,   1.27,  -1.91,  -1.79,  -0.92,  -0.49,  -1.79,  -2.55,  -1.06,   0.32,  -1.85,  -2.78,  -0.76,   0.57,  -0.20,  -2.02,  -1.02,   0.19,   1.02,  -0.02,  -0.24,  -1.28,  -1.54,  -0.07,  -0.86,  -3.25
196409,   4.69,   4.03,   5.91,   2.73,   3.98,   3.54,   2.27,   2.56,   2.00,   4.75,   1.76,   1.95,   3.23,   3.23,   3.77,   3.05,   3.35,   4.30,   4.85,   4.76,   3.11,   1.18,   4.44,   4.59,   6.54
196410,   1.70,   0.37,   2.64,   2.21,   3.36,  -1.48,   1.90,   2.07,   1.31,   1.36,   3.21,   3.54,   1.75,   1.37,   2.72,   1.15,   1.21,   1.27,   3.19,   3.48,   0.33,   1.04,   0.35,   0.38,   3.87
196411,  -0.16,  -0.41,   0.72,   0.75,   0.52,  -0.70,  -0.25,   0.09,  -0.60,  -1.76,   1.61,   0.46,  -0.02,   0.43,   0.16,   0.75,   1.51,  -0.61,  -0.83,  -4.06,   1.04,  -0.28,   1.49,  -1.35,  -4.69
196412,  -1.51,  -1.40,  -2.29,  -2.62,  -1.84,   1.43,   0.08,   0.74,  -2.21,  -0.95,   0.12,   0.91,  -0.39,  -1.81,  -0.91,   0.89,   0.05,  -1.62,  -0.96,  -1.44,   0.83,   1.32,  -0.93,  -1.18,  -1.31
196501,   8.56,   5.83,   6.07,   7.22,   8.77,   7.65,   5.98,   5.61,   5.99,   6.18,   5.20,   6.23,   5.11,   6.06,   6.97,   6.66,   4.13,   5.23,   5.12,   7.49,   4.70,   1.26,   3.10,   3.60,   3.55
196502,   1.58,   1.07,   2.44,   3.04,   3.73,   3.44,   4.02,   3.70,   3.49,   3.59,   3.90,   4.94,   4.79,   2.89,   3.44,   1.43,   3.51,   3.99,   3.20,   1.79,   0.18,  -0.18,   0.08,  -0.38,  -1.24
196503,   1.40,   2.72,   1.25,   2.40,   3.25,   2.02,  -1.50,   0.99,   1.30,   0.59,  -0.29,  -0.36,  -0.30,   1.45,   0.64,  -0.59,  -0.35,  -0.48,   0.44,   2.09,  -1.32,  -1.66,  -1.64,  -0.60,   0.29
196504,   3.38,   4.86,   5.17,   4.07,   4.60,   0.00,   4.51,   4.61,   4.70,   5.14,   2.80,   2.99,   4.32,   3.53,   6.80,   2.69,   2.93,   4.67,   4.39,   2.64,   4.59,   1.87,   2.11,   2.15,   4.26
196505,  -0.60,  -2.32,  -1.55,  -0.41,  -1.27,   1.27,  -1.37,  -0.81,  -0.33,  -2.16,  -0.41,   0.38,  -1.48,  -0.81,  -0.58,  -1.10,  -0.03,  -0.95,  -0.36,  -3.31,  -0.72,   0.93,  -0.23,  -0.60,  -3.42
196506, -12.40, -10.76,  -9.53,  -8.00,  -9.57, -10.38,  -8.35,  -9.05,  -8.33,  -8.29,  -6.96,  -9.31,  -8.44,  -8.73,  -8.38,  -6.46,  -6.92,  -8.15,  -8.66,  -8.97,  -4.43,  -3.58,  -4.98,  -3.65,  -5.43
196507,   2.44,   3.74,   3.20,   2.29,   4.33,   3.88,   1.25,   2.69,   3.73,   4.29,   1.24,   4.52,   2.51,   4.49,   4.65,   2.71,   3.10,   4.18,   2.61,   5.79,   1.52,  -0.04,   1.89,   3.87,   5.06
196508,   2.91,   5.42,   5.38,   3.80,   3.93,   7.46,   3.89,   4.82,   4.45,   4.10,   8.08,   5.05,   7.65,   3.65,   5.91,   4.19,   4.02,   5.34,   3.10,   4.34,   3.26,   1.36,   3.49,   1.12,   2.40
196509,   3.08,   6.18,   1.62,   3.94,   3.14,   5.55,   3.59,   2.85,   4.87,   2.92,   2.79,   4.30,   2.44,   5.15,   4.65,   3.73,   3.73,   1.23,   2.88,   3.83,   3.93,   2.32,   2.48,   3.52,   3.25
196510,   5.97,   8.65,   6.73,   5.63,   9.04,   4.70,   5.95,   4.06,   5.39,   5.38,   4.75,   4.83,   5.68,   5.67,   5.10,   4.22,   3.18,   2.93,   4.32,   7.87,   3.14,   0.27,   3.05,   4.42,   5.48
196511,   3.59,   6.28,   3.04,   8.09,   6.63,   1.43,   5.51,   4.22,   5.43,   4.05,   3.61,   3.38,   5.29,   3.00,   2.65,   3.39,   2.81,   3.37,   1.02,   6.08,  -0.30,  -1.85,   1.25,  -1.28,  -2.27
196512,   6.41,   7.23,   2.66,   3.87,   4.97,   3.75,   4.96,   4.36,   2.39,   7.37,   2.57,   1.33,   4.02,   1.46,   5.63,   1.18,   1.34,   1.62,   4.45,   4.78,   1.01,  -0.21,   1.26,   2.80,   2.96
196601,   5.88,   6.08,   8.45,   9.58,   9.24,   4.94,   5.42,   5.15,   5.32,   6.40,   4.03,   2.84,   2.92,   4.70,   6.01,   0.62,   2.05,   4.95,   4.18,   5.70,  -0.37,  -0.64,   1.73,   3.06,   3.50
196602,   6.49,   6.16,   1.87,   4.64,   6.12,   5.09,   5.19,   1.95,  -0.21,   3.53,   0.10,   1.86,   4.31,   2.42,   2.90,   2.31,  -1.57,   0.64,   0.69,   3.55,  -1.33,  -2.27,  -1.69,  -1.97,  -2.06
196603,   0.43,  -0.85,  -1.70,  -0.84,  -1.10,   0.18,  -1.69,  -2.13,  -3.63,  -1.56,  -1.70,  -4.71,  -2.36,  -3.34,  -3.71,  -0.08,  -1.39,  -3.30,  -2.54,  -4.22,  -1.47,  -3.42,  -1.09,  -2.15,  -4.50
196604,  10.51,   4.68,   5.79,   6.93,   3.89,   2.70,   5.19,   3.73,   7.70,   8.80,   3.86,   4.05,   3.13,   4.49,   2.40,   4.04,   2.49,   3.46,   4.77,   0.34,   2.11,   1.87,   1.22,   2.41,   2.00
196605, -12.30, -13.06, -10.87, -10.76, -11.79,  -9.82, -10.04,  -8.89, -10.03,  -9.18,  -6.36,  -7.03,  -7.64, -10.58,  -9.48,  -5.11,  -5.16,  -6.71,  -8.78, -10.76,  -4.19,  -3.87,  -4.73,  -5.51,  -5.45
196606,  -0.68,  -0.52,   1.28,   1.54,   0.37,   1.36,   0.43,   0.30,  -0.65,   0.25,   0.27,  -0.52,   2.69,  -0.46,  -0.68,  -1.06,  -0.36,   0.00,   3.55,  -0.08,  -2.00,  -1.48,  -0.69,   0.86,  -0.69
196607,  -2.00,  -1.94,  -2.41,  -0.02,  -1.03,  -3.51,  -0.94,  -1.11,  -1.69,  -1.69,  -0.97,  -1.85,  -0.82,  -1.04,  -1.28,  -0.92,  -1.37,  -1.98,  -2.63,  -2.38,  -1.69,  -1.49,  -0.61,   0.91,  -1.33
196608, -11.98, -10.59,  -9.88, -11.08, -10.38, -13.21, -10.24,  -9.55,  -9.68, -10.91, -10.58,  -8.72,  -8.04,  -9.83,  -8.79,  -9.28,  -7.66,  -7.88,  -6.92,  -9.40,  -7.19,  -8.75,  -5.70,  -6.19,  -7.96
196609,  -1.88,  -2.08,  -1.73,  -1.89,  -1.24,  -2.02,   0.85,  -2.19,  -1.82,  -2.09,  -2.27,  -4.60,   0.25,  -0.44,  -1.08,  -0.96,   0.15,  -1.19,  -3.20,  -0.38,  -1.31,   1.01,   0.48,   0.28,  -1.62
196610,  -7.92,  -4.77,  -4.60,  -1.16,  -1.39,  -5.64,  -0.46,  -0.94,   0.32,  -0.21,  -2.07,   1.63,   3.36,   4.76,   1.65,   0.25,   4.95,   3.76,   3.94,   1.93,   2.94,   5.63,   9.20,   6.27,   6.51
196611,   8.44,   3.68,   4.67,   2.46,   3.56,   7.76,   2.73,   7.62,   1.93,   2.69,   9.86,   6.78,   0.94,   4.81,   0.51,   8.45,   1.30,   1.55,   1.94,   0.79,   3.67,   1.90,  -2.53,  -1.43,  -1.07
196612,   4.10,   2.83,   2.42,   0.85,   0.20,   4.75,   3.05,   1.09,   2.24,   0.70,   3.05,   3.36,   0.79,   3.16,  -0.48,   3.13,   2.32,   1.50,   3.66,   1.95,  -0.87,   0.08,   1.46,  -0.14,  -0.12
196701,  20.42,  20.57,  19.27,  20.60,  17.44,  16.97,  16.06,  18.04,  17.39,  20.47,  17.21,  14.20,  12.32,  13.39,  14.38,   9.96,   6.68,  10.67,  10.99,  13.53,   7.73,   7.10,   4.87,   7.86,  13.79
196702,   7.48,   4.89,   5.58,   4.50,   5.90,   3.25,   1.96,   2.54,   3.25,   1.65,   1.91,   1.96,   1.83,   0.77,   0.85,   2.95,  -0.40,  -0.18,   1.11,   0.21,   2.30,   0.67,  -0.79,  -0.87,  -1.33
196703,   7.20,   6.17,   4.95,   7.51,   5.24,   6.87,   5.92,   7.40,   6.57,   6.26,   5.60,   5.56,   4.49,   7.93,   4.33,   5.69,   4.27,   6.00,   4.46,   5.98,   4.26,   3.09,   3.15,   4.67,   5.32
196704,   6.92,   4.04,   3.54,   4.04,   3.56,   3.20,   3.66,   5.20,   3.90,   3.34,   5.54,   4.52,   3.27,   5.53,   2.93,   6.60,   2.98,   3.97,   3.34,   2.82,   6.89,   2.84,   0.11,   3.55,   1.76
196705,   0.36,   0.40,  -0.73,  -0.89,  -0.71,  -1.28,   0.76,   0.29,  -2.63,  -3.57,  -3.24,  -1.62,  -1.75,  -0.01,  -1.85,  -2.35,  -0.55,  -2.21,  -1.32,  -0.65,  -5.65,  -4.21,  -4.05,  -3.70,  -3.66
196706,  15.79,   9.37,  12.59,  12.29,  10.05,  10.24,   6.23,   7.56,   9.41,   5.99,   4.82,   8.26,   3.91,   4.97,   3.67,   3.12,   2.32,   3.79,   6.78,   6.13,   1.42,   0.40,   1.62,   2.90,   3.09
196707,   9.32,  10.01,   9.56,   7.65,  11.85,   6.17,   6.82,   9.50,   9.33,   8.41,   5.38,   4.99,   5.90,   7.31,  11.37,   4.77,   4.66,   5.08,   7.14,   9.21,   4.45,   5.64,   2.11,   5.87,   6.46
196708,  -0.71,   0.64,   0.20,   0.23,   2.09,  -1.18,  -1.31,   0.68,   0.47,   1.11,  -3.03,   0.77,   1.32,   1.33,  -0.30,  -0.85,  -0.97,  -0.69,   1.11,   3.92,  -0.57,  -1.02,  -1.53,   0.46,   1.34
196709,  11.76,  10.17,   8.28,   7.66,   4.86,   5.10,   5.89,   7.08,   5.59,   3.11,   5.66,   1.72,   2.89,   4.56,   2.67,   3.69,   1.54,   2.26,   3.53,   0.46,   3.80,   3.15,   3.26,   1.62,   0.25
196710,   1.80,  -3.98,  -1.68,  -1.63,  -2.66,  -0.77,  -2.32,   0.65,  -2.85,  -5.07,  -3.50,  -1.08,  -3.61,  -3.02,  -2.49,  -4.67,  -5.50,  -5.25,  -2.55,  -5.55,  -0.25,  -4.02,  -2.70,  -6.15,  -6.51
196711,  -1.10,   3.79,  -1.15,  -1.30,  -1.10,   1.09,   0.58,   2.44,   0.39,   0.12,   2.69,   0.83,   0.73,  -0.24,  -0.92,   3.44,   0.37,  -0.17,  -0.11,  -0.55,   1.32,   0.28,   0.18,  -0.55,   0.06
196712,  13.13,  10.35,   8.55,   9.67,  10.13,  12.40,   6.29,   9.21,   7.24,   9.13,   7.70,   5.66,   5.45,   5.29,   7.13,   1.35,   2.75,   4.67,   4.56,   3.85,   1.95,   3.05,   2.24,   5.59,   2.79
196801,   3.14,   2.57,   2.90,   3.37,   6.00,  -4.58,  -2.17,  -0.52,   1.17,   2.62,  -6.87,  -0.70,  -0.75,  -0.70,   2.78,  -8.15,   0.16,  -2.86,   0.16,  -0.53,  -6.28,  -5.85,   0.59,  -2.28,  -3.85
196802, -10.10,  -7.09,  -5.44,  -6.95,  -5.58,  -6.92,  -6.43,  -8.98,  -3.55,  -5.67,  -6.90,  -3.93,  -3.00,  -2.36,  -4.59,  -5.39,  -3.46,  -2.79,  -5.02,  -4.11,  -3.02,  -2.21,  -2.08,  -3.25,  -1.90
196803,  -1.52,  -0.01,  -0.34,  -2.02,  -0.08,  -0.39,  -1.94,  -0.14,  -1.19,  -0.64,   2.00,  -0.40,  -2.42,   0.77,  -0.15,   0.43,  -0.19,  -1.21,   0.23,  -0.24,   3.09,  -1.38,  -0.33,  -1.79,   2.03
196804,  21.57,  17.49,  16.19,  16.49,  15.77,  18.99,  12.91,  17.78,  12.25,  12.80,  16.16,  12.10,   8.38,  10.24,  17.86,  12.61,   7.32,   8.31,  12.80,  11.89,  10.74,   7.40,   3.31,   9.41,  10.51
196805,  10.75,  12.58,  10.78,  11.89,  11.74,  11.92,   7.72,   8.16,   7.58,   7.24,   8.80,   4.71,   4.84,   5.06,   6.97,   4.44,   4.65,   3.02,   2.77,   6.20,   2.26,   1.26,  -0.80,  -0.98,   4.65
196806,  -1.08,   0.10,   1.64,   1.77,   0.19,  -1.14,   1.76,  -1.48,   1.63,   0.28,  -2.02,   3.38,   3.49,   1.75,   1.39,  -0.14,   4.01,   3.93,   2.88,  -2.44,  -0.08,   0.62,   4.18,   3.18,  -1.60
196807,  -4.90,  -4.58,  -3.73,  -1.52,   0.81,  -8.87,  -4.00,  -2.24,  -0.04,  -0.29,  -5.75,  -3.88,  -3.58,  -0.92,  -0.19,  -5.47,  -3.64,  -4.18,  -1.36,  -2.21,  -5.28,  -0.97,   2.29,   0.93,   1.14
196808,   4.54,   5.79,   4.86,   4.10,   4.83,   1.57,   3.39,   3.81,   1.28,   7.08,   3.12,   3.32,   2.78,   2.53,   4.96,   1.87,   1.22,   2.01,   2.17,   3.08,   1.10,   0.68,   1.79,   1.65,   2.90
196809,   7.16,   8.48,   6.93,   5.94,   6.32,   7.09,   6.35,   7.17,   6.18,   6.27,   7.14,   6.80,   3.39,   6.03,   6.38,   6.55,   6.07,   4.77,   6.80,   5.90,   2.04,   5.30,   2.31,   4.25,   8.30
196810,  -2.05,  -0.03,   1.40,   0.65,   1.66,  -0.31,   0.73,   1.83,   2.37,   0.95,  -0.10,   2.55,   3.13,   2.56,   0.82,  -0.33,   0.50,   2.41,   0.80,   2.61,  -1.74,   2.14,   1.88,   3.75,   1.15
196811,   6.75,   7.70,   6.50,   6.59,   6.98,  10.08,   9.10,   8.33,   8.93,   5.88,   8.46,   7.16,   7.96,   9.75,   7.73,   6.84,   7.91,   7.20,   7.22,   8.36,   6.27,   3.00,   5.71,   4.54,   3.80
196812,   4.07,   2.34,   0.69,  -0.25,   0.54,  -0.10,   0.62,  -1.45,  -3.04,  -3.54,  -2.66,  -4.01,  -1.33,   0.23,  -2.87,  -3.97,  -4.52,  -4.12,  -1.45,  -0.64,  -5.34,  -4.40,  -3.16,  -3.46,  -3.03
196901,  -0.53,  -2.12,  -1.93,  -1.31,  -1.34,  -2.69,  -1.04,  -1.52,   1.26,   0.64,  -3.32,  -1.12,  -0.52,  -1.16,  -1.21,  -2.10,   0.31,  -0.16,  -0.28,   1.27,  -2.15,  -0.43,   0.80,  -0.36,   1.62
196902, -12.38, -10.73,  -9.05,  -8.67,  -8.72, -11.05,  -8.09,  -4.92,  -7.11,  -7.44,  -9.17,  -8.41,  -6.08,  -7.06,  -5.79,  -8.15,  -7.55,  -4.94,  -7.21,  -8.73,  -3.35,  -3.11,  -5.09,  -4.60,  -6.22
196903,   3.13,   2.47,   3.56,   4.16,   2.39,   4.23,   1.67,   2.14,   0.38,   5.41,   2.10,   2.64,   0.87,   2.55,   2.74,   4.79,  -2.15,   2.49,   1.69,   3.56,   4.22,   2.90,   3.71,   1.95,   4.91
196904,   1.05,  -0.49,   1.00,   2.49,   0.11,   1.55,   1.22,   1.06,  -0.55,   4.68,   2.43,   0.12,   0.33,   2.09,   0.48,   2.75,   2.38,   0.43,  -0.60,   1.72,   3.72,   1.16,   0.87,   3.02,   0.82
196905,   1.03,   0.81,   1.01,   0.79,   0.45,  -1.96,  -1.53,  -0.96,   0.07,   0.49,   0.13,   0.22,   1.33,   1.49,  -1.89,  -0.26,  -0.97,   1.51,   1.19,  -2.47,  -0.49,   0.55,   0.97,   1.45,   0.63
196906, -14.64, -12.92, -13.46, -12.59, -12.32, -12.18, -11.05,  -9.15, -10.05, -10.94, -10.46,  -9.49, -11.20,  -9.84,  -9.05,  -7.10,  -8.77,  -7.26,  -8.51,  -8.42,  -1.59,  -6.82,  -7.45,  -6.66,  -8.45
196907, -13.01, -11.47, -10.84, -10.46,  -7.92, -10.76,  -9.89,  -8.49,  -6.45,  -8.37,  -9.95, -10.52,  -6.51,  -6.20,  -7.47,  -6.63,  -8.12,  -7.00,  -5.61,  -8.02,  -4.04,  -5.95,  -6.37,  -8.16,  -5.62
196908,   5.18,   4.76,   4.95,   3.29,   2.76,   7.15,   6.62,   4.10,   3.27,   2.67,   9.70,   8.72,   6.98,   2.59,   5.67,   9.92,   5.43,   4.57,   3.48,   2.80,   7.00,   4.71,   3.81,   4.43,   1.93
196909,  -3.01,  -5.02,  -5.07,  -2.21,  -3.44,   1.64,  -0.70,  -1.84,  -0.79,  -1.42,   0.26,   0.14,  -1.76,  -1.93,  -3.70,   0.59,  -1.45,  -2.45,  -3.15,  -3.44,  -0.48,  -2.30,  -2.43,  -5.69,  -4.58
196910,  13.98,  12.63,   9.25,   7.94,   6.33,  11.24,   8.49,   6.70,   6.06,   6.97,   8.89,   6.81,   7.43,   8.71,   6.84,   8.95,   7.28,   8.32,   6.24,   5.36,   5.96,   5.22,   4.51,   2.20,   3.77
196911,  -8.49,  -7.12,  -6.15,  -6.04,  -7.39,  -3.49,  -5.40,  -3.30,  -5.40,  -5.32,  -4.59,  -4.71,  -6.60,  -3.61,  -5.59,  -2.13,  -3.86,  -3.24,  -5.26,  -5.98,  -1.39,  -3.72,  -3.76,  -4.52,  -1.95
196912,  -8.18,  -7.45,  -6.04,  -8.22,  -8.65,  -4.14,  -6.03,  -7.23,  -6.08,  -6.03,  -2.93,  -1.73,  -4.17,  -4.85,  -4.88,   0.43,  -4.29,  -1.91,  -1.91,  -4.09,   0.97,  -1.43,  -1.49,  -1.81,  -5.23
197001,  -4.86,  -3.28,  -3.88,  -2.47,   0.11,  -6.92,  -6.75,  -2.04,  -3.61,  -1.80,  -9.51,  -6.46,  -8.13,  -3.67,  -3.55,  -7.94, -11.39,  -7.76,  -6.11,  -5.89,  -8.50,  -6.83,  -8.21,  -9.67,  -4.27
197002,   2.26,   3.40,   4.09,   3.18,   4.29,   2.72,   2.84,   2.77,   8.20,   7.06,   3.93,   2.07,   5.92,   5.37,   7.48,   4.30,   4.89,   6.65,   8.71,   6.92,   3.57,   5.13,   9.09,   6.90,   8.17
197003,  -6.51,  -5.24,  -2.52,   0.31,  -1.29,  -5.88,  -2.49,  -0.30,   0.03,   0.69,  -3.86,  -0.64,  -1.21,   1.87,   0.78,  -4.17,   0.18,   1.45,   0.81,   2.23,  -2.42,  -0.22,   2.85,   0.64,   1.63
197004, -24.15, -18.74, -14.96, -12.98, -12.02, -22.17, -16.91, -14.98, -10.64, -11.16, -20.32, -14.29, -13.24,  -9.13, -10.76, -15.71, -14.92,  -9.80,  -9.71,  -9.36, -10.53,  -8.24,  -8.97,  -6.99,  -7.98
197005, -10.19, -10.17,  -9.16,  -8.12, -10.45, -13.00,  -8.25, -10.74,  -8.38,  -8.16, -11.15, -10.74, -13.12,  -6.58,  -7.60, -11.01,  -9.68,  -7.49,  -7.43,  -8.27,  -8.02,  -6.08,  -5.06,  -0.05,  -4.02
197006, -12.11,  -8.66,  -7.30,  -8.28,  -6.03, -10.47,  -6.75,  -8.19,  -7.11,  -6.06,  -8.30,  -4.63,  -6.88,  -4.76,  -7.20,  -2.51,  -5.16,  -3.76,  -3.30, -10.66,  -6.29,  -4.01,  -3.66,  -2.06,  -8.17
197007,   4.82,   5.60,   5.11,   6.46,   3.83,   6.83,   7.26,   5.92,  10.70,   7.80,   7.53,   6.81,   9.94,   5.50,   7.19,   5.92,   9.69,   7.95,   9.07,  11.25,   4.39,   8.21,   9.02,  10.65,   6.14
197008,   5.60,   6.45,   7.14,   6.77,   6.33,   9.66,   9.16,   5.77,   7.77,   4.54,   5.82,   7.92,   6.09,   5.72,   7.80,   4.54,   8.27,   3.80,   5.35,   6.74,   3.99,   5.17,   4.41,   4.88,   6.20
197009,  22.15,  16.54,  15.64,  11.59,  11.59,  18.09,  18.63,   9.50,   7.30,   9.60,  15.17,   9.84,   9.14,   5.14,   6.08,   9.55,   5.97,   4.92,   3.88,   8.04,   7.18,   0.32,  -0.22,   0.26,   4.39
197010, -11.13,  -7.45, -11.29,  -6.52,  -5.00,  -4.48,  -7.96,  -6.00,  -3.85,  -4.41,  -5.86,  -4.26,  -6.42,  -2.64,  -4.63,  -2.68,  -3.28,  -3.44,  -3.44,  -6.19,  -0.08,  -0.96,  -3.58,   0.13,  -3.77
197011,  -4.72,  -2.12,  -2.09,   0.38,   0.21,   0.78,   1.24,   3.16,   5.73,   3.85,   2.93,   3.07,   4.75,   4.87,   1.96,   4.73,   3.14,   6.28,   8.40,   4.81,   5.16,   6.77,   5.03,   5.94,   5.68
197012,   6.98,   7.32,  10.44,  11.58,  10.75,   8.75,   8.25,   8.14,   9.37,   9.68,   6.27,   9.61,  11.28,   7.72,   9.06,   6.25,  10.52,   8.32,  10.04,   7.61,   4.68,   5.78,   7.69,   5.00,   6.91
197101,  15.27,  13.78,  16.31,  14.12,  15.93,   7.54,  13.19,  12.62,  10.90,  13.08,   8.25,   8.85,  11.18,   7.81,   8.68,   5.24,   7.00,   5.29,   8.65,  14.00,   4.10,   4.31,   3.30,   3.00,   4.03
197102,   8.00,   7.47,   6.10,   3.32,   4.06,   4.03,   3.58,   2.79,   1.34,   0.89,   4.07,   1.94,   2.29,   1.32,   1.84,   3.43,   3.09,   0.30,   3.24,   1.21,   2.34,   0.35,   0.63,   0.50,   1.25
197103,   8.34,   4.63,   7.86,   6.49,   5.13,   7.95,   6.67,   5.89,   4.37,   1.39,  10.41,   9.30,   3.45,   3.32,   4.68,   6.93,   6.02,   4.63,   2.35,   3.51,   5.86,   2.90,   4.83,   1.48,   2.50
197104,   0.78,   3.26,   2.24,   2.74,   1.86,   2.21,   2.60,   2.09,   3.60,   7.03,   6.19,   4.73,   4.80,   2.20,   8.05,   2.89,   3.29,   1.96,   4.14,   9.17,   3.63,   5.66,   0.71,   2.56,   6.15
197105,  -6.60,  -5.10,  -7.34,  -4.96,  -6.57,  -3.50,  -5.54,  -4.73,  -4.63,  -4.47,  -4.57,  -2.56,  -4.92,  -3.74,  -3.10,  -2.14,  -3.32,  -4.19,  -3.15,  -4.37,  -2.43,  -4.35,  -4.10,  -5.05,  -3.65
197106,  -0.42,  -3.59,  -2.29,  -1.24,  -2.16,   3.97,  -2.37,   0.43,  -2.02,  -3.36,  -1.69,   1.74,  -1.50,  -1.85,  -2.49,   1.25,   1.27,   2.25,   0.58,  -3.94,   1.24,  -0.85,  -0.36,   0.88,  -0.28
197107,  -8.62,  -8.06,  -7.25,  -6.04,  -5.91,  -6.41,  -4.72,  -3.46,  -6.45,  -5.74,  -8.02,  -4.53,  -3.28,  -5.81,  -4.69,  -3.62,  -4.21,  -3.81,  -4.23,  -7.61,  -3.98,  -3.90,  -3.47,  -3.30,  -5.49
197108,   3.29,   4.38,   2.81,   4.56,   5.65,   4.08,   7.07,   3.30,   6.04,   7.79,   6.55,   4.93,   1.92,   7.50,   9.00,   6.89,   4.33,   2.15,   3.48,  10.56,   5.40,   4.66,  -1.43,   1.97,  13.59
197109,   1.21,   2.09,  -0.12,  -0.63,  -2.39,   2.10,  -1.18,  -2.10,  -1.66,  -2.83,   1.13,   0.31,  -0.68,  -1.33,  -2.98,   1.88,  -1.03,  -0.45,  -0.23,  -4.44,   0.34,  -1.11,  -1.28,  -1.45,  -2.15
